start,end,length_steps,duration_minutes
2024-11-23 03:20:00+00:00,2024-11-23 12:30:00+00:00,56,560.0
2024-11-23 22:00:00+00:00,2024-11-25 10:30:00+00:00,220,2200.0
2024-11-26 02:40:00+00:00,2024-11-28 15:10:00+00:00,364,3640.0
2024-11-28 21:30:00+00:00,2024-11-30 11:10:00+00:00,227,2270.0
2024-11-30 18:20:00+00:00,2024-12-01 15:10:00+00:00,126,1260.0
2024-12-01 21:30:00+00:00,2024-12-03 14:20:00+00:00,246,2460.0
2024-12-03 20:40:00+00:00,2024-12-07 08:30:00+00:00,504,5040.0
2024-12-07 14:50:00+00:00,2024-12-08 21:30:00+00:00,185,1850.0
2024-12-09 04:10:00+00:00,2024-12-09 09:40:00+00:00,34,340.0
2024-12-09 16:00:00+00:00,2024-12-10 13:20:00+00:00,129,1290.0
2024-12-10 19:40:00+00:00,2024-12-12 11:30:00+00:00,240,2400.0
2024-12-12 17:50:00+00:00,2024-12-18 09:20:00+00:00,814,8140.0
2024-12-18 15:40:00+00:00,2024-12-19 11:10:00+00:00,118,1180.0
2024-12-19 17:30:00+00:00,2024-12-20 21:20:00+00:00,168,1680.0
2024-12-21 03:40:00+00:00,2024-12-22 10:40:00+00:00,187,1870.0
2024-12-22 17:00:00+00:00,2024-12-23 13:10:00+00:00,122,1220.0
2024-12-23 19:30:00+00:00,2024-12-24 11:10:00+00:00,95,950.0
2024-12-24 17:30:00+00:00,2024-12-26 10:40:00+00:00,248,2480.0
2024-12-26 17:00:00+00:00,2024-12-27 09:40:00+00:00,101,1010.0
2024-12-27 19:40:00+00:00,2025-01-01 09:30:00+00:00,660,6600.0
2025-01-01 15:50:00+00:00,2025-01-01 17:30:00+00:00,11,110.0
2025-01-01 23:50:00+00:00,2025-01-03 10:10:00+00:00,207,2070.0
2025-01-03 16:30:00+00:00,2025-01-04 12:00:00+00:00,118,1180.0
2025-01-04 18:20:00+00:00,2025-01-06 22:30:00+00:00,314,3140.0
2025-01-07 04:50:00+00:00,2025-01-07 09:20:00+00:00,28,280.0
2025-01-07 15:40:00+00:00,2025-01-08 11:20:00+00:00,119,1190.0
2025-01-08 17:40:00+00:00,2025-01-11 09:50:00+00:00,386,3860.0
2025-01-11 18:40:00+00:00,2025-01-12 09:10:00+00:00,88,880.0
2025-01-12 18:30:00+00:00,2025-01-12 21:30:00+00:00,19,190.0
2025-01-13 03:50:00+00:00,2025-01-13 08:40:00+00:00,30,300.0
2025-01-13 18:50:00+00:00,2025-01-14 08:50:00+00:00,85,850.0
2025-01-14 23:00:00+00:00,2025-01-15 10:30:00+00:00,70,700.0
2025-01-15 16:50:00+00:00,2025-01-16 10:30:00+00:00,107,1070.0
2025-01-16 16:50:00+00:00,2025-01-17 11:20:00+00:00,112,1120.0
2025-01-17 17:40:00+00:00,2025-01-19 08:10:00+00:00,232,2320.0
2025-01-20 00:00:00+00:00,2025-01-20 00:50:00+00:00,6,60.0
2025-01-20 07:10:00+00:00,2025-01-21 17:40:00+00:00,208,2080.0
2025-01-22 00:00:00+00:00,2025-01-22 09:20:00+00:00,57,570.0
2025-01-22 20:20:00+00:00,2025-01-23 09:30:00+00:00,80,800.0
2025-01-23 19:30:00+00:00,2025-01-23 22:50:00+00:00,21,210.0
2025-01-24 08:40:00+00:00,2025-01-26 10:00:00+00:00,297,2970.0
2025-01-26 16:20:00+00:00,2025-01-28 09:10:00+00:00,246,2460.0
2025-01-28 15:30:00+00:00,2025-01-28 18:20:00+00:00,18,180.0
