start,end,length_steps,duration_minutes
2025-02-01 06:20:00+00:00,2025-02-01 13:20:00+00:00,43,430.0
2025-02-02 10:30:00+00:00,2025-02-02 13:40:00+00:00,20,200.0
2025-02-03 10:30:00+00:00,2025-02-03 10:40:00+00:00,2,20.0
2025-02-04 04:40:00+00:00,2025-02-04 12:30:00+00:00,48,480.0
2025-02-04 18:50:00+00:00,2025-02-05 23:40:00+00:00,174,1740.0
2025-02-06 06:00:00+00:00,2025-02-06 14:20:00+00:00,51,510.0
2025-02-06 22:10:00+00:00,2025-02-07 15:40:00+00:00,106,1060.0
2025-02-07 22:00:00+00:00,2025-02-08 15:40:00+00:00,107,1070.0
2025-02-09 13:30:00+00:00,2025-02-09 15:30:00+00:00,13,130.0
2025-02-10 13:40:00+00:00,2025-02-10 15:50:00+00:00,14,140.0
2025-02-11 12:30:00+00:00,2025-02-11 15:30:00+00:00,19,190.0
2025-02-12 01:30:00+00:00,2025-02-12 15:20:00+00:00,84,840.0
2025-02-12 22:20:00+00:00,2025-02-13 11:00:00+00:00,77,770.0
2025-02-13 23:00:00+00:00,2025-02-14 12:10:00+00:00,80,800.0
2025-02-14 21:00:00+00:00,2025-02-14 21:00:00+00:00,1,10.0
2025-02-15 03:20:00+00:00,2025-02-15 13:40:00+00:00,63,630.0
2025-02-15 23:40:00+00:00,2025-02-16 14:40:00+00:00,91,910.0
2025-02-17 11:00:00+00:00,2025-02-17 15:20:00+00:00,27,270.0
2025-02-18 10:10:00+00:00,2025-02-18 10:20:00+00:00,2,20.0
2025-02-19 04:40:00+00:00,2025-02-19 14:20:00+00:00,59,590.0
2025-02-20 15:50:00+00:00,2025-02-20 16:50:00+00:00,7,70.0
2025-02-21 13:50:00+00:00,2025-02-21 16:20:00+00:00,16,160.0
2025-02-23 13:50:00+00:00,2025-02-23 14:10:00+00:00,3,30.0
2025-02-24 09:30:00+00:00,2025-02-24 10:30:00+00:00,7,70.0
2025-02-24 23:30:00+00:00,2025-02-25 15:00:00+00:00,94,940.0
2025-02-26 01:30:00+00:00,2025-02-26 15:30:00+00:00,85,850.0
2025-02-27 00:30:00+00:00,2025-02-27 10:20:00+00:00,60,600.0
2025-03-01 15:00:00+00:00,2025-03-01 15:10:00+00:00,2,20.0
2025-03-02 02:10:00+00:00,2025-03-02 15:10:00+00:00,79,790.0
2025-03-03 11:50:00+00:00,2025-03-03 13:40:00+00:00,12,120.0
2025-03-05 08:40:00+00:00,2025-03-05 15:30:00+00:00,42,420.0
2025-03-06 10:10:00+00:00,2025-03-06 14:00:00+00:00,24,240.0
2025-03-07 08:10:00+00:00,2025-03-07 15:20:00+00:00,44,440.0
2025-03-08 10:30:00+00:00,2025-03-08 16:10:00+00:00,35,350.0
2025-03-09 11:20:00+00:00,2025-03-09 14:40:00+00:00,21,210.0
2025-03-10 05:50:00+00:00,2025-03-10 13:40:00+00:00,48,480.0
2025-03-11 00:20:00+00:00,2025-03-11 09:10:00+00:00,54,540.0
2025-03-12 04:40:00+00:00,2025-03-12 10:40:00+00:00,37,370.0
2025-03-13 00:30:00+00:00,2025-03-13 13:30:00+00:00,79,790.0
2025-03-15 10:10:00+00:00,2025-03-15 16:20:00+00:00,38,380.0
2025-03-16 09:00:00+00:00,2025-03-16 12:20:00+00:00,21,210.0
2025-03-17 12:20:00+00:00,2025-03-17 13:30:00+00:00,8,80.0
2025-03-18 09:50:00+00:00,2025-03-18 14:10:00+00:00,27,270.0
2025-03-19 07:50:00+00:00,2025-03-19 13:00:00+00:00,32,320.0
2025-03-20 10:50:00+00:00,2025-03-20 13:10:00+00:00,15,150.0
2025-03-21 11:00:00+00:00,2025-03-21 12:10:00+00:00,8,80.0
2025-03-22 08:50:00+00:00,2025-03-22 14:40:00+00:00,36,360.0
2025-03-23 14:20:00+00:00,2025-03-23 15:50:00+00:00,10,100.0
2025-03-26 12:30:00+00:00,2025-03-26 16:40:00+00:00,26,260.0
2025-03-27 06:40:00+00:00,2025-03-27 16:40:00+00:00,61,610.0
2025-03-28 12:00:00+00:00,2025-03-28 13:20:00+00:00,9,90.0
2025-03-29 14:10:00+00:00,2025-03-29 16:00:00+00:00,12,120.0
2025-03-31 05:10:00+00:00,2025-03-31 15:00:00+00:00,60,600.0
2025-04-03 11:50:00+00:00,2025-04-03 15:10:00+00:00,21,210.0
2025-04-04 11:10:00+00:00,2025-04-04 12:20:00+00:00,8,80.0
2025-04-05 12:50:00+00:00,2025-04-05 15:20:00+00:00,16,160.0
2025-04-07 11:50:00+00:00,2025-04-07 16:50:00+00:00,31,310.0
2025-04-08 11:50:00+00:00,2025-04-08 12:50:00+00:00,7,70.0
2025-04-09 06:50:00+00:00,2025-04-09 13:30:00+00:00,41,410.0
2025-04-11 12:00:00+00:00,2025-04-11 16:50:00+00:00,30,300.0
2025-04-12 11:50:00+00:00,2025-04-12 17:10:00+00:00,33,330.0
2025-04-13 13:00:00+00:00,2025-04-13 17:20:00+00:00,27,270.0
2025-04-14 12:00:00+00:00,2025-04-14 12:40:00+00:00,5,50.0
2025-04-18 00:40:00+00:00,2025-04-18 15:50:00+00:00,92,920.0
2025-04-19 03:20:00+00:00,2025-04-19 15:50:00+00:00,76,760.0
2025-04-20 11:40:00+00:00,2025-04-20 14:20:00+00:00,17,170.0
2025-04-21 11:40:00+00:00,2025-04-21 14:20:00+00:00,17,170.0
2025-04-23 11:40:00+00:00,2025-04-23 15:50:00+00:00,26,260.0
2025-04-24 11:50:00+00:00,2025-04-24 15:20:00+00:00,22,220.0
2025-04-25 11:20:00+00:00,2025-04-25 16:00:00+00:00,29,290.0
2025-04-26 11:30:00+00:00,2025-04-26 16:40:00+00:00,32,320.0
2025-04-27 11:40:00+00:00,2025-04-27 17:40:00+00:00,37,370.0
